Item,Job_Title,Company_Name,Location,Url
31,Software Engineer,Vodafone,Greater Istanbul,https://tr.linkedin.com/jobs/view/software-engineer-at-vodafone-4223055678?position=31&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=T%2BtwpbTYJ263plzT58hoVg%3D%3D
32,Software Engineer,Atos,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-at-atos-4290381186?position=32&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=8rrYkooF1wuDRNqXYPj8ng%3D%3D
33,React Native Developer (New Grad),HubX,Greater Istanbul,https://tr.linkedin.com/jobs/view/react-native-developer-new-grad-at-hubx-4278277262?position=33&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=BlM4jUFzlLtubJEmxEjPig%3D%3D
34,Software Developer (Java),TDG Türkiye,"Sakarya, Sakarya, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-java-at-tdg-t%C3%BCrkiye-4199344829?position=34&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=zoQdHfilTBGVW080VC%2B%2BGA%3D%3D
35,Software Developer-Python/JavaScript,Acronis,Türkiye,https://tr.linkedin.com/jobs/view/software-developer-python-javascript-at-acronis-4270611317?position=35&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=ZUa48hNxv%2FpgvNW4Vqk99A%3D%3D
36,Software Engineer,Dream Games,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-at-dream-games-3630450075?position=36&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=KBMo6NixvwozLVAlfXpwPA%3D%3D
37,Yazılım Geliştirme Uzmanı,iGA Istanbul Airport,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-geli%C5%9Ftirme-uzman%C4%B1-at-iga-istanbul-airport-4292863321?position=37&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=Ve6cX1hutUxThPDPzO3TFw%3D%3D
38,"Yazılım Mühendisi (Görüntü İşleme, Derin Öğrenme Mühendisi)",HAVELSAN,"Ankara, Türkiye",https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-m%C3%BChendisi-g%C3%B6r%C3%BCnt%C3%BC-i%CC%87%C5%9Fleme-derin-%C3%B6%C4%9Frenme-m%C3%BChendisi-at-havelsan-4272827950?position=38&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=sLSMYItzGG4qXVJHDcFqHg%3D%3D
39,Software Developer,TurkNet,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-at-turknet-4158185969?position=39&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=BaPqoR8iKY7MZlJy0uwpFQ%3D%3D
40,Full Stack Developer,viravira.co,"Istanbul, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/full-stack-developer-at-viravira-co-4280891343?position=40&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=UXXD0QvOdOB0Z4%2F9nUK7ug%3D%3D
41,Software Engineer,iyzico,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-at-iyzico-4286784857?position=41&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=uHPewHNXWGTdtgHqV1ZFrg%3D%3D
42,Back End Developer,Wingie Enuygun Group,"Istanbul, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/back-end-developer-at-wingie-enuygun-group-4292361396?position=42&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=6mVkZDuqRyd95e5PmruXOA%3D%3D
43,Yazılım Uzmanı,Cengiz Holding,"Üsküdar, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-uzman%C4%B1-at-cengiz-holding-4279998419?position=43&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=gaYzfBcptbbg7D84GZ30gw%3D%3D
44,Full Stack Engineer,Cherry,Türkiye,https://tr.linkedin.com/jobs/view/full-stack-engineer-at-cherry-4280021208?position=44&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=kiqDLs4QQ3gkc5KIvYp7Cg%3D%3D
45,MERN Full Stack Web Developer,AudaCity Capital Management,Türkiye,https://tr.linkedin.com/jobs/view/mern-full-stack-web-developer-at-audacity-capital-management-4283749929?position=45&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=DYP5BipJofJThugzVYBtpw%3D%3D
